N,Computation_Time_s,Best_Energy,Merit_Factor,Best_Sequence
5,0.0624,2,6.2500,00010
6,0.1404,7,2.5714,101111
7,0.2706,3,8.1667,1110010
8,0.4888,8,4.0000,10010111
9,0.7598,12,3.3750,011010111
10,1.1184,13,3.8462,1010011111
11,1.5776,5,12.1000,11100010010
12,2.1713,10,7.2000,010110011111
13,2.8784,14,6.0357,0101111110011
14,3.7427,19,5.1579,00001100101011
15,4.7282,23,4.8913,011010001110111
16,5.9208,24,5.3333,0101011011001111
17,7.2895,36,4.0139,10010111100010001
18,8.7696,33,4.9091,011010100010000011
19,10.6411,41,4.4024,1011001000111101111
20,12.5187,58,3.4483,00101100001000110111
21,14.7905,50,4.4100,110000100000101110010
22,17.2660,55,4.4000,1111011110001001101010
23,19.9948,75,3.5267,11011110110000011010101
24,22.9786,72,4.0000,000001001110010110100010
25,26.3152,96,3.2552,0000010111011000111001011
26,30.3022,101,3.3465,01010010110011000000111000
27,53.0952,109,3.3440,111011110001101110101001101
28,108.7365,110,3.5636,0110100101010111111001100111
29,233.1057,110,3.8227,11101010010000010011000001100
30,507.4948,139,3.2374,000000110001110100100010011010
